0,-179.5
1,-180.0
2,-180.0
3,-170.0
4,-180.0
5,-170.0
6,-180.0
7,-170.0
8,-160.0
9,-170.0
10,-170.0
11,-160.0
12,-160.0
13,-160.0
14,-150.0
15,-160.0
16,-150.0
17,-140.0
18,-150.0
19,-150.0
20,-130.0
21,-140.0
22,-120.0
23,-140.0
24,-130.0
25,-120.0
26,-140.0
27,-130.0
28,-130.0
29,-120.0
30,-130.0
31,-130.0
32,-130.0
33,-140.0
34,-120.0
35,-130.0
36,-130.0
37,-140.0
38,-120.0
39,-130.0
40,-130.0
41,-130.0
42,-120.0
43,-140.0
44,-130.0
45,-110.0
46,-120.0
47,-100.0
48,-140.0
49,-120.0
50,-130.0
51,-120.0
52,-120.0
53,-120.0
54,-130.0
55,-120.0
56,-140.0
57,-140.0
58,-120.0
59,-140.0
60,-120.0
61,-110.0
62,-120.0
63,-130.0
64,-120.0
65,-120.0
66,-120.0
67,-130.0
68,-140.0
69,-130.0
70,-130.0
